brand,category,WB_ID,name,article,skus,price,discount,discountedPrice,clubDiscount,clubDiscountedPrice,spp,wb_price,personal_discount,personal_price,cost_price,profit,"markup, %"
PARFUMS CONSTANTINE,Туалетная вода,21013828,"Духи женские стойкие Mademoiselle 17 Black Opium, 50 мл",PCM000007,['4603720462279'],4000,59,1640,1,1623.6,,,,,194.0,1429.6,837
PARFUMS CONSTANTINE,Туалетная вода,420728273,"Туалетная вода мужская Galvanoliori ULTIMATE GREY, 100 мл",GALVANOL000007,['4607817712148'],2000,53,940,0,940.0,33,628.0,7.0,584.0,168.0,772.0,560
PARFUMS CONSTANTINE,Туалетная вода,420755223,"Туалетная вода мужская Galvanoliori SPACE BLUE, 100 мл",GALVANOL000009,['4607817712162'],2000,53,940,0,940.0,33,628.0,7.0,584.0,174.0,766.0,540
PARFUMS CONSTANTINE,Туалетная вода,420710677,"Туалетная вода мужская Galvanoliori DEEP OCEAN, 100 мл",GALVANOL000006,['4607817712131'],2000,53,940,0,940.0,33,628.0,7.0,584.0,178.0,762.0,528
PARFUMS CONSTANTINE,Туалетная вода,420775538,"Туалетная вода мужская Galvanoliori CEDAR WOOD, 100 мл",GALVANOL000011,['4607817712186'],2000,53,940,0,940.0,33,628.0,7.0,584.0,174.0,766.0,540
PARFUMS CONSTANTINE,Туалетная вода,420736595,"Туалетная вода мужская Galvanoliori LIGHT MOSS, 100 мл",GALVANOL000008,['4607817712155'],2000,53,940,0,940.0,33,628.0,7.0,584.0,174.0,766.0,540
PARFUMS CONSTANTINE,Туалетная вода,420762134,"Туалетная вода мужская Galvanoliori AQUA SKY, 100 мл",GALVANOL000010,['4607817712179'],2000,53,940,0,940.0,33,628.0,7.0,584.0,179.0,761.0,525
PARFUMS CONSTANTINE,Туалетная вода,12645289,"Духи женские стойкие свежие BOHEMIA ICE QUEEN, 50 мл",BOHEMIA000002,['4604094038169'],5000,47,2650,1,2623.5,32,1772.0,7.0,1647.0,345.0,2278.5,760
PARFUMS CONSTANTINE,Туалетная вода,12645292,"Духи женские стойкие фруктовые BOHEMIA MAGNIFICENCE, 50 мл",BOHEMIA000005,['4604094038190'],5000,46,2700,1,2673.0,32,1806.0,7.0,1679.0,321.0,2352.0,833
PARFUMS CONSTANTINE,Туалетная вода,12645291,"Духи женские сладкие цветочные BOHEMIA ILLUSION, 50 мл",BOHEMIA000004,['4604094038183'],5000,45,2750,1,2722.5,32,1839.0,7.0,1710.0,270.0,2452.5,1008
PARFUMS CONSTANTINE,Туалетная вода,12645288,"Духи женские стойкие цветочные BOHEMIA EXCELSIOR, 50 мл",BOHEMIA000001,['4604094038152'],5000,47,2650,1,2623.5,32,1772.0,7.0,1647.0,290.0,2333.5,905
PARFUMS CONSTANTINE,Туалетная вода,38674959,"Духи женские стойкие цитрусовые BOHEMIA MOONSTONE, 50 мл",BOHEMIAB0000030,['4603720462446'],5000,45,2750,1,2722.5,32,1839.0,7.0,1710.0,,,
PARFUMS CONSTANTINE,Духи,245202461,Духи женские стойкие набор пробников 5 шт по 2 мл,BOHEMIAS000001,['4607817711240'],2000,69,620,1,613.8,33,414.0,7.0,385.0,200.0,413.8,307
PARFUMS CONSTANTINE,Духи,577260169,"Духи женские набор BOHEMIA СOLORED DIAMONDS, 4 штуки по 2 мл",BOHEMIAC000001,['4607817712575'],2000,69,620,0,620.0,33,414.0,7.0,385.0,171.0,449.0,363
